OBJECTID;NAME;ICAO_CODE;TYP;ARS;BUNDESLAND;REGBEZIRK;KREIS;VERWALTUNG;GEMEINDE;SHAPE_JSON
1;Lahr;EDTL;Sonderflughafen;083175007065;Baden-Württemberg;Freiburg;Ortenaukreis;Lahr/Schwarzwald;Lahr/Schwarzwald;{"type": "Point", "coordinates": [7.824184335000041, 48.358112532000064]}
2;Karlsruhe/Baden-Baden;EDSB;regional;082165006063;Baden-Württemberg;Karlsruhe;Rastatt;Rheinmünster-Lichtenau;Rheinmünster;{"type": "Point", "coordinates": [8.087642132000042, 48.77795996400005]}
3;Stuttgart;EDDS;international;081160078078;Baden-Württemberg;Stuttgart;Esslingen;Leinfelden-Echterdingen;Leinfelden-Echterdingen;{"type": "Point", "coordinates": [9.193641705000061, 48.690570051000066]}
4;Friedrichshafen;EDNY;regional;084350035035;Baden-Württemberg;Tübingen;Bodenseekreis;Meckenbeuren;Meckenbeuren;{"type": "Point", "coordinates": [9.524310669000045, 47.67308857900008]}
5;Nürnberg;EDDN;international;095640000000;Bayern;Mittelfranken;Nürnberg;Nürnberg;Nürnberg;{"type": "Point", "coordinates": [11.079248865000068, 49.49413392100007]}
6;München;EDDM;international;091775123133;Bayern;Oberbayern;Erding;Oberding;Oberding;{"type": "Point", "coordinates": [11.790460386000063, 48.35411572600003]}
7;Ingolstadt/Manching;ETSI;Sonderflughafen;091865156116;Bayern;Oberbayern;Pfaffenhofen a.d. Ilm;Geisenfeld;Ernsgaden;{"type": "Point", "coordinates": [11.551602511000056, 48.72328602200008]}
8;Oberpfaffenhofen;EDMO;Sonderflughafen;091880144144;Bayern;Oberbayern;Starnberg;Weßling;Weßling;{"type": "Point", "coordinates": [11.29338737300003, 48.08898304200005]}
9;Memmingen;EDJA;regional;097785765171;Bayern;Schwaben;Unterallgäu;Memmingerberg;Memmingerberg;{"type": "Point", "coordinates": [10.232524845000057, 47.98937177900007]}
10;Berlin-Brandenburg;EDDB;international;120610433433;Brandenburg;;Dahme-Spreewald;Schönefeld;Schönefeld;{"type": "Point", "coordinates": [13.508750421000059, 52.364200193000045]}
11;Bremen;EDDW;international;040110000000;Bremen;;Bremen;Bremen;Bremen;{"type": "Point", "coordinates": [8.785539738000068, 53.05251154600006]}
12;Hamburg;EDDH;international;020000000000;Hamburg;;Hamburg;Hamburg;Hamburg;{"type": "Point", "coordinates": [10.00608528500004, 53.633100289000026]}
13;Frankfurt am Main;EDDF;international;064120000000;Hessen;Darmstadt;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;{"type": "Point", "coordinates": [8.571660942000051, 50.05075933400008]}
14;Kassel-Calden;EDVK;regional;066330005005;Hessen;Kassel;Kassel;Calden;Calden;{"type": "Point", "coordinates": [9.386091014000044, 51.416276450000055]}
15;Schwerin-Parchim;EDOP;regional;130760108108;Mecklenburg-Vorpommern;;Ludwigslust-Parchim;Parchim;Parchim;{"type": "Point", "coordinates": [11.781992806000062, 53.432197846000065]}
16;Neubrandenburg;EDBN;regional;130715157145;Mecklenburg-Vorpommern;;Mecklenburgische Seenplatte;Neverin;Trollenhagen;{"type": "Point", "coordinates": [13.299372229000028, 53.60461231000005]}
17;Laage;ETNL;regional;130725257062;Mecklenburg-Vorpommern;;Rostock;Laage;Laage;{"type": "Point", "coordinates": [12.286390252000047, 53.91398098800005]}
